System,T(K),GammaInf,Ref
"n-hexane/n,n-dimethylformamide",293,19.11,7
"n-hexane/n,n-dimethylformamide",333,12,7
"n-octane/n,n-dimethylformamide",293,32.78,7
"n-octane/n,n-dimethylformamide",333,18.39,7
"n-nonane/n,n-dimethylformamide",293,38.98,7
"n-nonane/n,n-dimethylformamide",333,23.1,7
"n-decane/n,n-dimethylformamide",333,24.8,7
"n-octane/cyclohexylamine",353.15,1.36,"10.1021/je050316s",
"n-octane/cyclohexylamine",373.15,1.29,"10.1021/je050316s",
"n-octane/cyclohexylamine",393.15,1.20,"10.1021/je050316s",
