System,T(K),GammaInf,Ref,1,2,3,4,5,6
n-hexane/acetone,298,6.62,1,5.67,5.95,6.77,6.55,7.81,6.11
n-hexane/acetone,303,6.19,1,5.65,5.75,6.8287037037037e-05,6.26,7.98611111111111e-05,5.85
n-hexane/acetone,308,6.06,1,5.46,5.55,6.49,5.99,7.44,5.61
n-hexane/acetone,313,5.61,1,5.36,5.37,6.35,5.74,7.27,5.38
n-hexane/acetone,318,5.42,1,5.27,5.19,6.2,5.51,7.11,5.17
n-heptane/acetone,298,8.72,1,6.65,7.03,8.14,8.21,10.15,7.11
n-heptane/acetone,303,8.26,1,6.51,6.75,7.94,7.8,9.68,6.78
n-heptane/acetone,313,7.23,1,6.24,6.24,7.57,7.06,9.36,6.16
n-heptane/acetone,333,4.6,10,5.76,5.38,6.91,5.89,6.46,5.16
n-heptane/acetone,363,3.6,10,5.15,4.38,6.09,4.65,7.38,4.05
n-octane/acetone,308,8.91,1,7.31,7.47,9.12,9.13,12.36,7.44
n-octane/acetone,318,7.74,1,6.98,6.85,8.65,8.19,11.65,6.7
"n-pentane/methyl ethyl ketone",298,3.66,10,3.38,3.41,3.71,6.42,3.35648148148148e-05,3.86
"n-pentane/methyl ethyl ketone",333,2.99,10,3.06,2.92,3.36,2.83,3.31,3.22
"n-pentane/methyl ethyl ketone",363,2.67,10,2.87,2.6,3.11,2.47,3.06,2.81
"n-heptane/methyl ethyl ketone",298,4.35,10,4.57,4.51388888888889e-05,5.18,4.87,5.46,4.92
"n-heptane/methyl ethyl ketone",333,3.46,10,4.04,3.77,4.53,3.79,4.74,3.86
"n-heptane/methyl ethyl ketone",363,2.87,10,3.68,3.23,4.09,3.16,4.26,3.22
"n-decane/methyl ethyl ketone",298,6.04,10,6.41,6.53,7.61,7.93,9.5,7.02
"n-decane/methyl ethyl ketone",333,3.95,10,5.42,4.94,6.34,5,7.83,5.03
"n-decane/methyl ethyl ketone",363,3.16,10,4.77,3.99,5.51,4.39,6.77,3.92
