System,T(K),GammaInf,Ref
benzene/n-heptane,331,1.37,15
benzene/n-heptane,350,1.33,15
benzene/n-heptane,366,1.27,15
benzene/n-octane,328,1.39,15
benzene/n-octane,348,1.3,15
benzene/n-octane,388,1.2,15
benzene/n-hexadecane,293,1.11,15
benzene/n-hexadecane,298,1.06,15
benzene/n-hexadecane,303,1.05,15
benzene/n-hexadecane,312,1.04,15
benzene/n-hexadecane,313,1,15
benzene/n-hexadecane,317,1,15
benzene/n-hexadecane,323,0.99,15
benzene/n-hexadecane,333,0.89,15
?benzene/n-hexadecane,343,0.62,15
?benzene/n-hexadecane,363,0.59,15
benzene/n-hexadecane,323.2,0.932,"doi:10.1016/S0378-3812(00)00486-6"
benzene/n-hexadecane,333.2,0.933,"doi:10.1016/S0378-3812(00)00486-6"
benzene/n-hexadecane,343.2,0.876,"doi:10.1016/S0378-3812(00)00486-6"
benzene/n-hexadecane,353.2,0.908,"doi:10.1016/S0378-3812(00)00486-6"
benzene/n-hexadecane,373.2,0.776,"doi:10.1016/S0378-3812(00)00486-6"
benzene/n-octadecane,303,1,15
benzene/n-octadecane,305,1,15
benzene/n-octadecane,308,0.99,15
benzene/n-octadecane,313,0.96,15
benzene/n-octadecane,323,0.93,15
benzene/n-octadecane,333,0.91,15
benzene/n-octadecane,353,0.83,15
benzene/n-eicosane,326,0.9,15
benzene/n-eicosane,347,0.85,15
benzene/n-eicosane,367,0.82,15
benzene/n-docosane,323,0.82,15
benzene/n-docosane,333,0.8,15
benzene/n-docosane,341,0.78,15
benzene/n-tetracosane,323,0.78,15
benzene/n-tetracosane,328,0.77,15
benzene/n-tetracosane,333,0.76,15
benzene/n-tetracosane,338,0.75,15
benzene/n-tetracosane,349,0.75,15
benzene/n-tetracosane,357,0.73,15
benzene/n-octacosane,323,0.71,15
benzene/n-octacosane,338,0.68,15
benzene/n-octacosane,348,0.66,15
benzene/n-octacosane,353,0.65,15
benzene/n-octacosane,373,0.63,15
benzene/n-triacontane,349,0.63,15
benzene/n-triacontane,357,0.61,15
benzene/n-hexatriacontane,349,0.56,15
benzene/n-hexatriacontane,353,0.55,15
benzene/n-hexatriacontane,357,0.54,15
toluene/n-hexadecane,312,1.05,15
toluene/n-hexadecane,317,1.04,15
toluene/n-hexadecane,333,0.9,15
?toluene/n-hexadecane,343,0.65,15
?toluene/n-hexadecane,363,0.62,15
toluene/n-hexadecane,323.2,0.941,"doi:10.1016/S0378-3812(00)00486-6"
toluene/n-hexadecane,333.2,0.948,"doi:10.1016/S0378-3812(00)00486-6"
toluene/n-hexadecane,343.2,0.870,"doi:10.1016/S0378-3812(00)00486-6"
toluene/n-hexadecane,353.2,0.846,"doi:10.1016/S0378-3812(00)00486-6"
toluene/n-hexadecane,373.2,0.808,"doi:10.1016/S0378-3812(00)00486-6"
toluene/n-octadecane,303,0.9,15
toluene/n-octadecane,313,0.92,15
toluene/n-octadecane,323,0.9,15
toluene/n-octadecane,333,0.89,15
toluene/n-eicosane,326,0.89,15
toluene/n-eicosane,347,0.86,15
toluene/n-eicosane,367,0.85,15
toluene/n-tetracosane,334,0.81,15
toluene/n-tetracosane,344,0.77,15
toluene/n-tetracosane,349,0.76,15
toluene/n-tetracosane,353,0.76,15
toluene/n-tetracosane,355,0.76,15
toluene/n-tetracosane,357,0.76,15
toluene/n-tetracosane,361,0.76,15
toluene/n-octacosane,353,0.67,15
toluene/n-octacosane,373,0.67,15
toluene/n-triacontane,349,0.64,15
toluene/n-triacontane,353,0.64,15
toluene/n-triacontane,357,0.64,15
toluene/n-triacontane,361,0.63,15
toluene/n-hexatriacontane,349,0.58,15
toluene/n-hexatriacontane,353,0.56,15
toluene/n-hexatriacontane,357,0.56,15
toluene/n-hexatriacontane,361,0.56,15
