"system","T(K)","gamainf","ref"
"N-pentane/C78H158",388.15,0.338,"doi:10.1016/j.fluid.2006.07.015"
"N-hexane/C78H158",388.15,0.346,"doi:10.1016/j.fluid.2006.07.015"
"N-heptane/C78H158",388.15,0.363,"doi:10.1016/j.fluid.2006.07.015"
"N-octane/C78H158",388.15,0.381,"doi:10.1016/j.fluid.2006.07.015"
"n-Nonane/C78H158",388.15,0.401,"doi:10.1016/j.fluid.2006.07.015"
"n-Decane/C78H158",388.15,0.42,"doi:10.1016/j.fluid.2006.07.015"
"n-Undecane/C78H158",388.15,0.438,"doi:10.1016/j.fluid.2006.07.015"
"n-Dodecane/C78H158",388.15,0.457,"doi:10.1016/j.fluid.2006.07.015"
"n-Tridecane/C78H158",388.15,0.479,"doi:10.1016/j.fluid.2006.07.015"
"n-Tetradecane/C78H158",388.15,0.493,"doi:10.1016/j.fluid.2006.07.015"
"2,4-Dimethylpentane/C78H158",388.15,0.392,"doi:10.1016/j.fluid.2006.07.015"
"2,4-Dimethylhexane/C78H158",388.15,0.396,"doi:10.1016/j.fluid.2006.07.015"
"2,2,3-Trimethylbutane/C78H158",388.15,0.345,"doi:10.1016/j.fluid.2006.07.015"
"3,4-Dimethylhexane/C78H158",388.15,0.357,"doi:10.1016/j.fluid.2006.07.015"
"2,2,4-Trimethylpentane/C78H158",388.15,0.401,"doi:10.1016/j.fluid.2006.07.015"
"2,3,4-Trimethylpentane/C78H158",388.15,0.356,"doi:10.1016/j.fluid.2006.07.015"
"Cyclohexane/C78H158",388.15,0.251,"doi:10.1016/j.fluid.2006.07.015"
"Cycloheptane/C78H158",388.15,0.257,"doi:10.1016/j.fluid.2006.07.015"
"Cyclooctane/C78H158",388.15,0.264,"doi:10.1016/j.fluid.2006.07.015"
"Cyclodecane/C78H158",388.15,0.281,"doi:10.1016/j.fluid.2006.07.015"
"Methylcyclohexane/C78H158",388.15,0.273,"doi:10.1016/j.fluid.2006.07.015"
