"System","T","GammaInf","Ref"
"dichloromethane/water",298.15,253,"DOI: 10.3390/i7020047"
"1,2-dichloroethane/water",298.15,641,"DOI: 10.3390/i7020049"
"bromoethane/water",298.15,679,"DOI: 10.3390/i7020050"
"chloroform/water",298.15,903,"DOI: 10.3390/i7020051"
"2-chloropropane/water",298.15,1480,"DOI: 10.3390/i7020052"
"1-chloropropane/water",298.15,1750,"DOI: 10.3390/i7020053"
"2-bromopropane/water",298.15,2090,"DOI: 10.3390/i7020054"
"iodoethane/water",298.15,2190,"DOI: 10.3390/i7020055"
"?di-n-propyl ether/water",298.15,2310,"DOI: 10.3390/i7020056"
"?benzene/water",298.15,2480,"DOI: 10.3390/i7020057"
"1-bromopropane/water",298.15,2860,"DOI: 10.3390/i7020058"
"1,1,1-trichloroethane/water",298.15,5900,"DOI: 10.3390/i7020059"
"1-chlorobutane/water",298.15,7610,"DOI: 10.3390/i7020060"
"2-bromobutane/water",298.15,8320,"DOI: 10.3390/i7020061"
"1-iodopropane/water",298.15,8550,"DOI: 10.3390/i7020062"
"trichloroethylene/water",298.15,8750,"DOI: 10.3390/i7020063"
"?toluene/water",298.15,9190,"DOI: 10.3390/i7020064"
"1-bromobutane/water",298.15,12200,"DOI: 10.3390/i7020065"
"?O-xylene/water",298.15,30500,"DOI: 10.3390/i7020066"
"1-chloropentane/water",298.15,32100,"DOI: 10.3390/i7020067"
"?M-xylene/water",298.15,33200,"DOI: 10.3390/i7020069"
"?P-xylene/water",298.15,33300,"DOI: 10.3390/i7020070"
"tetrachloroethylene/water",298.15,36000,"DOI: 10.3390/i7020071"
"?di-n-butyl ether/water",298.15,47200,"DOI: 10.3390/i7020072"
"?cumene/water",298.15,102000,"DOI: 10.3390/i7020073"
"?mesitylene/water",298.15,117000,"DOI: 10.3390/i7020074"
"?n-propylbenzene/water",298.15,136000,"DOI: 10.3390/i7020075"
"1-chlorohexane/water",298.15,141000,"DOI: 10.3390/i7020076"
"?n-butylbenzene/water",298.15,566000,"DOI: 10.3390/i7020077"
