System,T(K),GammaInf,Ref
cyclohexane/phenol,298,8.71,15
cyclohexane/phenol,303,7.67,15
cyclohexane/phenol,323,7.2,15
cyclohexane/phenol,358,7.1,15
cyclohexane/phenol,373,6.97,15
cycloheptane/phenol,328,8.85,15
cycloheptane/phenol,343,7.88,15
cycloheptane/phenol,358,7.42,15
cycloheptane/phenol,373,7.3,15
methylcyclopentane/phenol,318,9.6,15
methylcyclopentane/phenol,328,8.6,15
methylcyclopentane/phenol,343,8.27,15
methylcyclopentane/phenol,358,7.7,15
methylcyclopentane/phenol,373,7.64,15
methylcyclohexane/phenol,313,13.3,15
methylcyclohexane/phenol,321,12.79,15
methylcyclohexane/phenol,328,10.57,15
methylcyclohexane/phenol,333,10.2,15
methylcyclohexane/phenol,338,10.18,15
methylcyclohexane/phenol,343,9.44,15
methylcyclohexane/phenol,358,8.64,15
methylcyclohexane/phenol,373,8.45,15
ethylcyclohexane/phenol,313,15.8,15
ethylcyclohexane/phenol,321,14.9,15
ethylcyclohexane/phenol,328,12.28,15
ethylcyclohexane/phenol,343,10.64,15
ethylcyclohexane/phenol,358,9.79,15
ethylcyclohexane/phenol,373,9.03,15
