System,T(K),GammaInf,Ref
"cyclopentene/n,n-dimethylformamide",298,4.5,7
"cyclopentene/n,n-dimethylformamide",313,4.2,7
"cyclopentene/n,n-dimethylformamide",333,4,7
"cyclohexene/n,n-dimethylformamide",293,6,7
"cyclohexene/n,n-dimethylformamide",313,5.3,7
"cyclohexene/n,n-dimethylformamide",333,4.9,7
"cycloheptene/n,n-dimethylformamide",293,7.8,7
"cycloheptene/n,n-dimethylformamide",313,7,7
"cycloheptene/n,n-dimethylformamide",333,5.6,7
"cyclooctene/n,n-dimethylformamide",293,10.6,7
"cyclooctene/n,n-dimethylformamide",313,8.5,7
"cyclooctene/n,n-dimethylformamide",333,6.8,7
