System,T,GammaInf,Ref
"n-Butyl valerate/water","298.15","19341.34","DOI 10.1007/s10822-006-9079-6",
"Ethyl acetate/water","298.15","65.37","DOI 10.1007/s10822-006-9079-6",
"Ethyl butyrate/water","298.15","727.78","DOI 10.1007/s10822-006-9079-6",
"Ethyl formate/water","298.15","47.47","DOI 10.1007/s10822-006-9079-6",
"Ethyl valerate/water","298.15","2864.07","DOI 10.1007/s10822-006-9079-6",
"Ethyl propionate/water","298.15","254.68","DOI 10.1007/s10822-006-9079-6",
"Ethyl acrylate/water","298.15","270.43","DOI 10.1007/s10822-006-9079-6",
"Isobutyl acetate/water","298.15","845.56","DOI 10.1007/s10822-006-9079-6",
"Isopentyl acetate/water","298.15","2980.96","DOI 10.1007/s10822-006-9079-6",
"Isopropyl acetate/water","298.15","196.37","DOI 10.1007/s10822-006-9079-6",
"Isopropyl butyrate/water","298.15","3071.74","DOI 10.1007/s10822-006-9079-6",
"Methyl acetate/water","298.15","22.65","DOI 10.1007/s10822-006-9079-6",
"Methyl butyrate/water","298.15","330.3","DOI 10.1007/s10822-006-9079-6",
"Methyl formate/water","298.15","15.49","DOI 10.1007/s10822-006-9079-6",
"Methyl hexanoate/water","298.15","3983.83","DOI 10.1007/s10822-006-9079-6",
"Methyl isobutyrate/water","298.15","307.97","DOI 10.1007/s10822-006-9079-6",
"Methyl valerate/water","298.15","1261.43","DOI 10.1007/s10822-006-9079-6",
"Methyl propionate/water","298.15","87.36","DOI 10.1007/s10822-006-9079-6",
"n-Butyl acetate/water","298.15","812.41","DOI 10.1007/s10822-006-9079-6",
"n-Hexyl acetate/water","298.15","12456.53","DOI 10.1007/s10822-006-9079-6",
"n-Pentyl acetate/water","298.15","3229.23","DOI 10.1007/s10822-006-9079-6",
"n-Propyl acetate/water","298.15","242.26","DOI 10.1007/s10822-006-9079-6",
"n-Propyl formate/water","298.15","169.02","DOI 10.1007/s10822-006-9079-6",
"n-Propyl propionate/water","298.15","1085.72","DOI 10.1007/s10822-006-9079-6",
