System,T,GammaInf,Ref
"2-Methyl sec-butyl methyl ether/water","298.15","450.34","DOI 10.1007/s10822-006-9079-6",
"methyl n-Butyl ether/water","298.15","544.57","DOI 10.1007/s10822-006-9079-6",
"Diethyl ether/water","298.15","68.72","DOI 10.1007/s10822-006-9079-6",
"Diisopropyl ether/water","298.15","626.41","DOI 10.1007/s10822-006-9079-6",
"di-n-Butyl ether/water","298.15","47098.67","DOI 10.1007/s10822-006-9079-6",
"di-n-Propyl ether/water","298.15","2298.47","DOI 10.1007/s10822-006-9079-6",
"Ethyl isopropyl ether/water","298.15","200.34","DOI 10.1007/s10822-006-9079-6",
"Ethyl propyl ether/water","298.15","257.24","DOI 10.1007/s10822-006-9079-6",
"methyl Isobutyl ether/water","298.15","441.42","DOI 10.1007/s10822-006-9079-6",
"Isopropyl propyl ether/water","298.15","1199.91","DOI 10.1007/s10822-006-9079-6",
"Methyl propyl ether/water","298.15","131.63","DOI 10.1007/s10822-006-9079-6",
"methyl sec-Butyl ether/water","298.15","301.87","DOI 10.1007/s10822-006-9079-6",
"methyl tert-Butyl ether/water","298.15","113.3","DOI 10.1007/s10822-006-9079-6",
"Ethylene oxide/water","298.15","6.23","DOI 10.1007/s10822-006-9079-6",
"methyl tert-Butyl ether/water","288.15","127","doi:10.1016/j.fluid.2006.02.022",
"methyl tert-Butyl ether/water","298.15","139","doi:10.1016/j.fluid.2006.02.022",
"methyl tert-Butyl ether/water","308.15","180","doi:10.1016/j.fluid.2006.02.022",
"methyl tert-Butyl ether/water","318.15","234","doi:10.1016/j.fluid.2006.02.022",
"ethyl tert-Butyl ether/water","288.15","325","doi:10.1016/j.fluid.2006.02.022",
"ethyl tert-Butyl ether/water","298.15","514","doi:10.1016/j.fluid.2006.02.022",
"ethyl tert-Butyl ether/water","308.15","659","doi:10.1016/j.fluid.2006.02.022",
"ethyl tert-Butyl ether/water","318.15","873","doi:10.1016/j.fluid.2006.02.022",
"diethyl ether/water","283.15","50","doi:10.1016/S0378-3812(01)00675-6",
"diethyl ether/water","293.15","68","doi:10.1016/S0378-3812(01)00675-6",
"diethyl ether/water","298.15","77","doi:10.1016/S0378-3812(01)00675-6",
"diethyl ether/water","303.15","85.9","doi:10.1016/S0378-3812(01)00675-6",
"diisopropyl ether/water","283.15","372","doi:10.1016/S0378-3812(01)00675-6",
"diisopropyl ether/water","293.15","528","doi:10.1016/S0378-3812(01)00675-6",
"diisopropyl ether/water","298.15","616","doi:10.1016/S0378-3812(01)00675-6",
"diisopropyl ether/water","303.15","696","doi:10.1016/S0378-3812(01)00675-6",
"diisopropyl ether/water","313.15","789","doi:10.1016/S0378-3812(01)00675-6",


