System,T(K),GammaInf,Ref
acetone/methanol,298,2.03,10
acetone/methanol,333,1.82,10
acetone/methanol,373,1.66,10
2-butanone/methanol,298,2.36,10
2-butanone/methanol,333,2.13,10
2-butanone/methanol,373,1.96,10
3-pentanone/methanol,298,3.27,10
3-pentanone/methanol,333,2.8,10
3-pentanone/methanol,373,2.45,10
3-heptanone/methanol,298,5.59,10
3-heptanone/methanol,333,4.41,10
3-heptanone/methanol,373,3.59,10
5-nonanone/methanol,333,7.2,10
5-nonanone/methanol,373,5.2,10
acetone/ethanol,298,2.32,10
acetone/ethanol,305,2.14,10
acetone/ethanol,321,1.96,10
acetone/1-butanol,298,2.52,10
acetone/1-octanol,298,2.58,10
acetone/1-octanol,333,1.84,10
acetone/1-octanol,373,1.41,10
2-butanone/ethanol,298,2.62,10
2-butanone/1-butanol,298,1.98,10
2-butanone/1-butanol,333,1.64,10
2-butanone/1-butanol,373,1.42,10
2-butanone/1-octanol,298,2.3,10
2-butanone/1-octanol,333,1.78,10
2-butanone/1-octanol,373,1.46,10
3-pentanone/1-octanol,298,2.12,10
3-pentanone/1-octanol,333,1.56,10
3-pentanone/1-octanol,373,1.24,10
3-heptanone/1-butanol,298,2.67,10
3-heptanone/1-butanol,333,2.09,10
3-heptanone/1-butanol,373,1.72,10
