"System","T(K)","GammaInf","Ref","1",2,3,4,5,6,
"acetone/n-hexane","298","6.68","1","6.28",01/05/74,01/06/84,01/05/62,06/01/09,01/06/32,
"acetone/n-hexane","303","6.38","1","6.05",01/05/49,01/06/59,01/05/33,01/05/82,6,
"acetone/n-hexane","313","5.78","1","5.65",05/02/09,01/06/13,01/04/81,01/05/47,01/05/45,
"acetone/n-heptane","298","6.73","1","5.92",01/05/41,01/06/44,01/05/44,01/05/65,01/05/89,"`"
"acetone/n-heptane","308","5.95","1","5.51",01/04/95,01/05/99,04/09/09,01/05/49,01/05/34,
"acetone/n-heptane","333","4.9","10","4.7",04/04/09,05/09/09,01/03/88,01/04/76,01/04/27,
"acetone/n-heptane","373","3.5","10","3.63",03/09/09,04/11/09,01/02/86,01/03/95,01/03/16,
"acetone/n-octane","298","6.72","1","5.57",05/01/09,06/07/09,01/05/27,05/07/09,01/05/55,
"acetone/n-decane","298","6.5","10","4.96",01/04/54,05/04/09,01/04/94,01/05/39,05/02/09,
"acetone/n-decane","303","4.5","10","3.94",01/03/38,01/04/26,01/03/53,01/04/38,01/03/63,
"acetone/n-decane","313","3.1","10","3.21",01/02/59,01/03/45,02/06/09,01/03/64,"2.19907407407407e-05",
"acetone/n-hexadecane","298","6.1","10","3.67",01/03/35,01/03/99,01/04/18,01/04/63,01/03/99,
"acetone/n-hexadecane","333","4.2","10","2.91",02/05/09,01/03/15,01/02/98,01/03/76,01/02/89,
"acetone/n-hexadecane","373","3.1","10","2.37",01/01/91,01/02/55,02/02/09,03/12/09,01/02/14,
