System,T(K),GammaInf,Ref
"cyclohexylamine/n-octane",353.15,1.61,"10.1021/je050316s TODO: add other data from this source",
"cyclohexylamine/n-octane",373.15,1.50,"10.1021/je050316s",
"cyclohexylamine/n-octane",393.15,1.42,"10.1021/je050316s",
"cyclohexylamine/toluene",353.15,1.19,"10.1021/je050316s",
"cyclohexylamine/toluene",373.15,1.12,"10.1021/je050316s",
"cyclohexylamine/aniline",383.15,0.84,"10.1021/je050316s",
"cyclohexylamine/aniline",393.15,0.94,"10.1021/je050316s",
"cyclohexylamine/aniline",403.15,1.03,"10.1021/je050316s",
"n-octane/cyclohexylamine",353.15,1.36,"10.1021/je050316s",
"n-octane/cyclohexylamine",373.15,1.29,"10.1021/je050316s",
"n-octane/cyclohexylamine",393.15,1.20,"10.1021/je050316s",
"benzene/ethylene carbonate",323.15,5.081,"10.1021/je0102107 TODO: add other data from this source",
"benzene/ethylene carbonate",343.15,4.831,"10.1021/je0102107",
"benzene/ethylene carbonate",363.15,4.618,"10.1021/je0102107",
"benzene/ethylene carbonate",383.15,4.417,"10.1021/je0102107",
"toluene/ethylene carbonate",323.15,6.624,"10.1021/je0102107",
"toluene/ethylene carbonate",343.15,6.360,"10.1021/je0102107",
"toluene/ethylene carbonate",363.15,6.110,"10.1021/je0102107",
"toluene/ethylene carbonate",383.15,5.790,"10.1021/je0102107",
"acetaldehyde/ethylene carbonate",323.15,2.238,"10.1021/je0102107",
"acetaldehyde/ethylene carbonate",343.15,1.984,"10.1021/je0102107",
"acetaldehyde/ethylene carbonate",363.15,1.752,"10.1021/je0102107",
"acetaldehyde/ethylene carbonate",383.15,1.514,"10.1021/je0102107",
