System,T(K),GammaInf,"DOI 10.1007/s10822-006-9079-6",
"1,2,3-Trimethylbenzene/water","298.15","88432.96","DOI 10.1007/s10822-006-9079-6",
"1,2,4-Trimethylbenzene/water","298.15","117008.28","DOI 10.1007/s10822-006-9079-6",
"Benzanthracene/water","298.15","42287411.53","DOI 10.1007/s10822-006-9079-6",
"1,2-Benzofluorene/water","298.15","6715977.86","DOI 10.1007/s10822-006-9079-6",
"1,3,5-Cycloheptatriene/water","298.15","7942.63","DOI 10.1007/s10822-006-9079-6",
"1,3,5-Trimethylbenzene/water","298.15","117008.28","DOI 10.1007/s10822-006-9079-6",
"1,3-Butadiene/water","298.15","4105.16","DOI 10.1007/s10822-006-9079-6",
"1,3-Dimethylnaphthalene/water","298.15","1088161.36","DOI 10.1007/s10822-006-9079-6",
"1,4-Cyclohexadiene/water","298.15","5431.66","DOI 10.1007/s10822-006-9079-6",
"1,4-Dimethylnaphthalene/water","298.15","759184.42","DOI 10.1007/s10822-006-9079-6",
"1,4-Pentadiene/water","298.15","6768.26","DOI 10.1007/s10822-006-9079-6",
"1,5-Dimethylnaphthalene/water","298.15","744151.56","DOI 10.1007/s10822-006-9079-6",
"1,5-Hexadiene/water","298.15","26903.19","DOI 10.1007/s10822-006-9079-6",
"1,6-Heptadiene/water","298.15","120571.71","DOI 10.1007/s10822-006-9079-6",
"1-Butene/water","298.15","5064.45","DOI 10.1007/s10822-006-9079-6",
"1-Butyne/water","298.15","584.06","DOI 10.1007/s10822-006-9079-6",
"1-Ethylnaphthalene/water","298.15","806129.76","DOI 10.1007/s10822-006-9079-6",
"1-Heptyne/water","298.15","56954.05","DOI 10.1007/s10822-006-9079-6",
"1-Hexene/water","298.15","88432.96","DOI 10.1007/s10822-006-9079-6",
"1-Hexyne/water","298.15","12708.17","DOI 10.1007/s10822-006-9079-6",
"1-Methylcyclohexene/water","298.15","102744.44","DOI 10.1007/s10822-006-9079-6",
"1-Methylnaphthalene/water","298.15","282095.23","DOI 10.1007/s10822-006-9079-6",
"1-Nonyne/water","298.15","955509.51","DOI 10.1007/s10822-006-9079-6",
"1-Octyne/water","298.15","255250.32","DOI 10.1007/s10822-006-9079-6",
"1-Pentene/water","298.15","26370.47","DOI 10.1007/s10822-006-9079-6",
"1-Pentyne/water","298.15","2416.32","DOI 10.1007/s10822-006-9079-6",
"2,2,4-Trimethylpentane/water","298.15","2597344.15","DOI 10.1007/s10822-006-9079-6",
"2,2-Dimethylbutane/water","298.15","226386.73","DOI 10.1007/s10822-006-9079-6",
"2,2-Dimethylpentane/water","298.15","1264263.12","DOI 10.1007/s10822-006-9079-6",
