System,T(K),GammaInf,"DOI 10.1007/s10822-006-9079-6",
"2,2,3-Trimethyl-3-pentanol/water","298.15","1043.15","DOI 10.1007/s10822-006-9079-6",
"2,2-Dimethyl-1-butanol/water","298.15","742.48","DOI 10.1007/s10822-006-9079-6",
"2,2-Dimethyl-1-propanol/water","298.15","135.64","DOI 10.1007/s10822-006-9079-6",
"2,2-Dimethyl-3-pentanol/water","298.15","780.55","DOI 10.1007/s10822-006-9079-6",
"2,3-Dimethyl-2-butanol/water","298.15","131.63","DOI 10.1007/s10822-006-9079-6",
"2,3-Dimethyl-2-pentanol/water","298.15","411.58","DOI 10.1007/s10822-006-9079-6",
"2,3-Dimethyl-3-pentanol/water","298.15","387.61","DOI 10.1007/s10822-006-9079-6",
"2,4-Dimethyl-2-pentanol/water","298.15","473.43","DOI 10.1007/s10822-006-9079-6",
"2,4-Dimethyl-3-pentanol/water","298.15","915.99","DOI 10.1007/s10822-006-9079-6",
"2,4-Dimethyl-3-pentanone/water","298.15","1107.65","DOI 10.1007/s10822-006-9079-6",
"2,6-Dimethyl-4-heptanone/water","298.15","8777.97","DOI 10.1007/s10822-006-9079-6",
"2-Butanol/water","298.15","26.05","DOI 10.1007/s10822-006-9079-6",
"2-Butanone/water","298.15","25.53","DOI 10.1007/s10822-006-9079-6",
"2-Heptanone/water","298.15","1394.09","DOI 10.1007/s10822-006-9079-6",
"2-Hexanol/water","298.15","281.46","DOI 10.1007/s10822-006-9079-6",
"2-Hexanone/water","298.15","354.25","DOI 10.1007/s10822-006-9079-6",
"2-Methyl sec-butyl methyl ether/water","298.15","450.34","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-1-butanol/water","298.15","160.77","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-1-propanol/water","298.15","48.91","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-2-hexanol/water","298.15","658.52","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-2-pentanol/water","298.15","170.72","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-3-pentanol/water","298.15","278.66","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-3-pentanone/water","298.15","361.41","DOI 10.1007/s10822-006-9079-6",
