System,T(K),GammaInf,Ref,1,2,3,4,5,6
ethanol/n-heptane,298,49.01,12,26.4,29.15,8.05,26.58,34.33,48.46
ethanol/n-heptane,313,39.94,10,21.88,2.34,7.19,22.13,28.21,32.79
ethanol/n-heptane,333,16.27,12,17.51,16.3,6.28,17.05,2.36,20.44
ethanol/n-heptane,373,7.3,12,12.1,9.69,5.03,9.5,15.2,8.96
ethanol/n-hexadecane,298,40,10,17.02,18.79,5.19,20.42,28.24,30.27
ethanol/n-hexadecane,333,13.5,10,11.29,10.51,4.05,13.1,18.39,12.77
ethanol/n-eicosane,333,12,10,9.64,8.97,3.45,11.93,16.96,11.21
ethanol/n-eicosane,373,5.3,10,6.65,5.33,2.77,6.65,11.53,4.91
n-propanol/n-heptane,333,16,11,14.48,13.54,4.63,13.82,17.46,17.76
n-propanol/n-heptane,353,8.95,11,11.97,10.36,4.37,10.59,14.31,11.76
n-butanol/n-heptane,298,37.1,10,18.14,19.98,5.74,17.58,21.51,36.2
n-butanol/n-heptane,333,13.6,10,12.26,11.49,4.59,11.58,14.27,15.8
n-butanol/n-heptane,353,9.3,11,10.19,8.87,4.13,8.97,11.75,10.59
n-butanol/n-heptane,373,5.62,11,8.66,7.08,3.78,6.86,9.91,7.39
n-pentanol/n-nonane,353,9.32,11,8.54,7.47,3.56,7.59,9.91,8.53
n-pentanol/n-nonane,373,5.61,11,7.29,6,3.27,5.88,8.39,6.04
