System,T(K),GammaInf,Ref
n-pentane/phenol,298,12.7,15
n-pentane/phenol,307,12,15
n-pentane/phenol,323,10.9,15
n-hexane/phenol,298,15.2,15
n-hexane/phenol,303,14.1,15
n-hexane/phenol,318,13.89,15
n-hexane/phenol,323,13,15
n-hexane/phenol,343,12.85,15
n-hexane/phenol,358,12.1,15
n-hexane/phenol,373,11.69,15
n-heptane/phenol,298,18.8,15
n-heptane/phenol,307,17.3,15
n-heptane/phenol,323,15.39,15
n-heptane/phenol,343,14.83,15
n-heptane/phenol,358,13.46,15
n-heptane/phenol,373,12.81,15
n-octane/phenol,313,24.61,15
n-octane/phenol,321,23.2,15
n-octane/phenol,328,19.98,15
n-octane/phenol,343,16.96,15
n-octane/phenol,358,15.1,15
n-octane/phenol,373,14.15,15
n-nonane/phenol,313,28.19,15
n-nonane/phenol,321,26.79,15
