System,T(K),GammaInf,Ref
"cis-2-pentene/n,n-dimethylformamide",293,7,7
"cis-2-pentene/n,n-dimethylformamide",313,6.3,7
"cis-2-pentene/n,n-dimethylformamide",333,5.7,7
"1-hexene/n,n-dimethylformamide",293,9.6,7
"1-hexene/n,n-dimethylformamide",313,7.7,7
"1-hexene/n,n-dimethylformamide",333,6.7,7
"1-heptene/n,n-dimethylformamide",293,12.2,7
"1-heptene/n,n-dimethylformamide",313,8.9,7
"1-heptene/n,n-dimethylformamide",333,8.1,7
"1-octene/n,n-dimethylformamide",293,15.5,7
"1-octene/n,n-dimethylformamide",313,12.6,7
"1-octene/n,n-dimethylformamide",333,10.2,7
"1-decene/n,n-dimethylformamide",293,27.19,7
"1-decene/n,n-dimethylformamide",313,23.1,7
"1-decene/n,n-dimethylformamide",333,17.8,7
"1-dodecene/n,n-dimethylformamide",293,45.2,7
"1-dodecene/n,n-dimethylformamide",313,38.9,7
"1-dodecene/n,n-dimethylformamide",333,29.4,7
