System,T(K),GammaInf,Ref
"n,n-dimethylformamide/n-hexane",303,32.62,7
"n,n-dimethylformamide/n-hexane",313,27.19,7
"n,n-dimethylformamide/n-heptane",333,17.3,7
"n,n-dimethylformamide/n-octane",313,17.8,7
"n,n-dimethylformamide/n-octane",333,14.4,7
"n,n-dimethylformamide/n-nonane",313,16.69,7
"n,n-dimethylformamide/n-nonane",333,13.69,7
"n,n-dimethylformamide/n-decane",313,15.09,7
"n,n-dimethylformamide/n-decane",333,12.59,7
"n,n-dimethylformamide/n-undecane",313,14.3,7
"n,n-dimethylformamide/n-undecane",333,11.6,7
