System,T(K),GammaInf,Ref
benzene/n-heptane,331,1.37,15
benzene/n-heptane,350,1.33,15
benzene/n-heptane,366,1.27,15
benzene/n-octane,328,1.39,15
benzene/n-octane,348,1.3,15
benzene/n-octane,388,1.2,15
benzene/n-hexadecane,293,1.11,15
benzene/n-hexadecane,298,1.06,15
benzene/n-hexadecane,303,1.05,15
benzene/n-hexadecane,312,1.04,15
benzene/n-hexadecane,313,1,15
benzene/n-hexadecane,317,1,15
benzene/n-hexadecane,323,0.99,15
benzene/n-hexadecane,333,0.89,15
benzene/n-hexadecane,343,0.62,15
benzene/n-hexadecane,363,0.59,15
benzene/n-octacosane,323,0.71,15
benzene/n-octacosane,338,0.68,15
benzene/n-octacosane,348,0.66,15
benzene/n-octacosane,353,0.65,15
benzene/n-octacosane,373,0.63,15
toluene/n-hexadecane,312,1.05,15
toluene/n-hexadecane,317,1.04,15
toluene/n-hexadecane,333,0.9,15
toluene/n-hexadecane,343,0.65,15
toluene/n-hexadecane,363,0.62,15
toluene/n-octacosane,353,0.67,15
toluene/n-octacosane,373,0.67,15
