System,T,GammaInf,Ref
"n-Butyl valerate/water","298.15","19341.34","DOI 10.1007/s10822-006-9079-6",
"Ethyl acetate/water","298.15","65.37","DOI 10.1007/s10822-006-9079-6",
"Ethyl butyrate/water","298.15","727.78","DOI 10.1007/s10822-006-9079-6",
"Ethyl formate/water","298.15","47.47","DOI 10.1007/s10822-006-9079-6",
"Ethyl valerate/water","298.15","2864.07","DOI 10.1007/s10822-006-9079-6",
"Ethyl propionate/water","298.15","254.68","DOI 10.1007/s10822-006-9079-6",
"Ethyl acrylate/water","298.15","270.43","DOI 10.1007/s10822-006-9079-6",
"Isobutyl acetate/water","298.15","845.56","DOI 10.1007/s10822-006-9079-6",
"Isopentyl acetate/water","298.15","2980.96","DOI 10.1007/s10822-006-9079-6",
"Isopropyl acetate/water","298.15","196.37","DOI 10.1007/s10822-006-9079-6",
"Isopropyl butyrate/water","298.15","3071.74","DOI 10.1007/s10822-006-9079-6",
"Methyl acetate/water","298.15","22.65","DOI 10.1007/s10822-006-9079-6",
"Methyl butyrate/water","298.15","330.3","DOI 10.1007/s10822-006-9079-6",
"Methyl formate/water","298.15","15.49","DOI 10.1007/s10822-006-9079-6",
"Methyl hexanoate/water","298.15","3983.83","DOI 10.1007/s10822-006-9079-6",
"Methyl isobutyrate/water","298.15","307.97","DOI 10.1007/s10822-006-9079-6",
"Methyl valerate/water","298.15","1261.43","DOI 10.1007/s10822-006-9079-6",
"Methyl propionate/water","298.15","87.36","DOI 10.1007/s10822-006-9079-6",
"n-Butyl acetate/water","298.15","812.41","DOI 10.1007/s10822-006-9079-6",
"n-Hexyl acetate/water","298.15","12456.53","DOI 10.1007/s10822-006-9079-6",
"n-Pentyl acetate/water","298.15","3229.23","DOI 10.1007/s10822-006-9079-6",
"n-Propyl acetate/water","298.15","242.26","DOI 10.1007/s10822-006-9079-6",
"n-Propyl formate/water","298.15","169.02","DOI 10.1007/s10822-006-9079-6",
"n-Propyl propionate/water","298.15","1085.72","DOI 10.1007/s10822-006-9079-6",
"Ethyl acetate/water","298.15","68.3","doi:10.1016/S0260-8774(97)89919-0",
"n-Butyl acetate/water","298.15","1178","doi:10.1016/S0260-8774(97)89919-0",
"n-Pentyl acetate/water","298.15","4874","doi:10.1016/S0260-8774(97)89919-0",
"n-Hexyl acetate/water","298.15","21031","doi:10.1016/S0260-8774(97)89919-0",
"Ethyl butyrate/water","298.15","1062","doi:10.1016/S0260-8774(97)89919-0",
"Dimethyl carbonate/water","273.35","37.6","doi:10.1016/j.fluid.2010.05.010",
"Dimethyl carbonate/water","283.15","43.8","doi:10.1016/j.fluid.2010.05.010",
"Dimethyl carbonate/water","293.15","46.3","doi:10.1016/j.fluid.2010.05.010",
"Dimethyl carbonate/water","298.15","48.0","doi:10.1016/j.fluid.2010.05.010",
"Dimethyl carbonate/water","303.15","49.3","doi:10.1016/j.fluid.2010.05.010",
"Dimethyl carbonate/water","313.15","50.0","doi:10.1016/j.fluid.2010.05.010",
"Dimethyl carbonate/water","323.15","50.9","doi:10.1016/j.fluid.2010.05.010",
"Dimethyl carbonate/water","333.15","50.3","doi:10.1016/j.fluid.2010.05.010",
"Diethyl carbonate/water","273.35","246","doi:10.1016/j.fluid.2010.05.010",
"Diethyl carbonate/water","283.15","299","doi:10.1016/j.fluid.2010.05.010",
"Diethyl carbonate/water","293.15","353","doi:10.1016/j.fluid.2010.05.010",
"Diethyl carbonate/water","298.15","374","doi:10.1016/j.fluid.2010.05.010",
"Diethyl carbonate/water","303.15","394","doi:10.1016/j.fluid.2010.05.010",
"Diethyl carbonate/water","313.15","408","doi:10.1016/j.fluid.2010.05.010",
"Diethyl carbonate/water","323.15","394","doi:10.1016/j.fluid.2010.05.010",
"Diethyl carbonate/water","333.15","388","doi:10.1016/j.fluid.2010.05.010",
"Vinyl acetate/water","273.35","150","doi:10.1016/j.fluid.2010.05.010",
"Vinyl acetate/water","283.15","161","doi:10.1016/j.fluid.2010.05.010",
"Vinyl acetate/water","293.15","177","doi:10.1016/j.fluid.2010.05.010",
"Vinyl acetate/water","298.15","181","doi:10.1016/j.fluid.2010.05.010",
"Vinyl acetate/water","303.15","187","doi:10.1016/j.fluid.2010.05.010",
"Vinyl acetate/water","313.15","190","doi:10.1016/j.fluid.2010.05.010",
"Vinyl acetate/water","323.15","194","doi:10.1016/j.fluid.2010.05.010",
"Vinyl acetate/water","333.15","187","doi:10.1016/j.fluid.2010.05.010",
"Methyl methacrylate/water","273.35","283","doi:10.1016/j.fluid.2010.05.010",
"Methyl methacrylate/water","283.15","321","doi:10.1016/j.fluid.2010.05.010",
"Methyl methacrylate/water","293.15","366","doi:10.1016/j.fluid.2010.05.010",
"Methyl methacrylate/water","298.15","380","doi:10.1016/j.fluid.2010.05.010",
"Methyl methacrylate/water","303.15","390","doi:10.1016/j.fluid.2010.05.010",
"Methyl methacrylate/water","313.15","403","doi:10.1016/j.fluid.2010.05.010",
"Methyl methacrylate/water","323.15","403","doi:10.1016/j.fluid.2010.05.010",
"Methyl methacrylate/water","333.15","394","doi:10.1016/j.fluid.2010.05.010",
