"System","T","GammaInf","Ref",,"-logSw",
"dichloromethane/water",298.15,253,"Anal. Chem. 1993, 65, 3112-3218"
"diisopropyl ether/water",298.15,628,"Anal. Chem. 1993, 65, 3112-3218"
"1,2-dichloroethane/water",298.15,641,"Anal. Chem. 1993, 65, 3112-3218",,1.07,652.720863855294
"bromoethane/water",298.15,679,"Anal. Chem. 1993, 65, 3112-3218",,,55.5555555555556
"chloroform/water",298.15,903,"DOI: 10.3390/i7020051",,,55.5555555555556
"2-chloropropane/water",298.15,1480,"DOI: 10.3390/i7020052",,,55.5555555555556
"1-chloropropane/water",298.15,1750,"DOI: 10.3390/i7020053",,,55.5555555555556
"2-bromopropane/water",298.15,2090,"DOI: 10.3390/i7020054",,,55.5555555555556
"iodoethane/water",298.15,2190,"DOI: 10.3390/i7020055",,,55.5555555555556
"di-n-propyl ether/water",298.15,2310,"Anal. Chem. 1993, 65, 3112-3218"
"benzene/water",298.15,2480,"DOI: 10.3390/i7020057",,,55.5555555555556
"1-bromopropane/water",298.15,2860,"DOI: 10.3390/i7020058",,,55.5555555555556
"1,1,1-trichloroethane/water",298.15,5900,"DOI: 10.3390/i7020059",,,55.5555555555556
"1-chlorobutane/water",298.15,7610,"DOI: 10.3390/i7020060",,,55.5555555555556
"2-bromobutane/water",298.15,8320,"DOI: 10.3390/i7020061",,,55.5555555555556
"1-iodopropane/water",298.15,8550,"DOI: 10.3390/i7020062",,,55.5555555555556
"trichloroethylene/water",298.15,8750,"DOI: 10.3390/i7020062",,,55.5555555555556
"toluene/water",298.15,9190,"DOI: 10.3390/i7020064",,,55.5555555555556
"1-bromobutane/water",298.15,12200,"DOI: 10.3390/i7020065",,,55.5555555555556
"O-xylene/water",298.15,30500,"DOI: 10.3390/i7020066",,,55.5555555555556
"1-chloropentane/water",298.15,32100,"DOI: 10.3390/i7020067",,,55.5555555555556
"ethylbenzene/water",298.15,32700,"DOI: 10.3390/i7020069",,,55.5555555555556
"M-xylene/water",298.15,33200,"DOI: 10.3390/i7020069",,,55.5555555555556
"P-xylene/water",298.15,33300,"DOI: 10.3390/i7020070",,,55.5555555555556
"tetrachloroethylene/water",298.15,36000,"DOI: 10.3390/i7020062",,,55.5555555555556
"di-n-butyl ether/water",298.15,47200,"DOI: 10.3390/i7020062",,,55.5555555555556
"isopropylbenzene/water",298.15,102000,"DOI: 10.3390/i7020073",,,55.5555555555556
"1,3,5-trimethylbenzene/water",298.15,117000,"DOI: 10.3390/i7020074",,,55.5555555555556
"n-propylbenzene/water",298.15,136000,"DOI: 10.3390/i7020075",,,55.5555555555556
"1-chlorohexane/water",298.15,141000,"DOI: 10.3390/i7020076",,,55.5555555555556
"n-butylbenzene/water",298.15,566000,"DOI: 10.3390/i7020077",,,55.5555555555556
