System,T(K),GammaInf,Ref,1,2,3,4,5,6,
ethanol/water,298,3.43,10,7.62,9.59,6.12,5.45,12.85,4.79,-
ethanol/water,333,4.5,10,7.16,8.13,5.74,6.93,10.91,5.49,-
ethanol/water,373,5.19,10,6.75,6.89,5.44,8.05,9.4,5.93,-
water/ethanol,298,2.52,10,2.66,4.77,1.58,3.07,2.44,2.51,-
water/ethanol,333,2.65,10,2.77,3.23,1.81,3.05,2.33,2.63,~
water/ethanol,373,2.58,10,2.82,2.34,1.91,2.9,223,248,~
n-propanol/water,298,11,10,20.06,26.54,17.66,12.5,30.15,13.94,-
n-propanol/water,333,15.4,10,17.93,21.15,15.57,17.03,24.17,15.14,-
n-propanol/water,373,17.8,10,16.13,17.11,14.12,20.27,19.79,15.25,-
water/n-propanol,373,3.1,10,3.42,2.67,2.48,3.59,1.96,3.03,-
N-butanol/water,348,78.7,5,43.14,00:00:50,41.35,48.24,51.36,42.24,-
water/n-butanol,298,3.8,10,3.8,5.34,2.71,4.41,1.9,4.67,-
water/n-butanol,333,3.52,10,3.94,3.82,2.91,4.43,1.04,4.15,-
water/n-butanol,348,5.2,5,3.97,3.43,2.97,4.4,1.83,3.9,-
water/n-butanol,373,3.23,10,3.99,2.95,3.06,4.31,1,3.48,-
