System,T,GammaInf,Ref
water/n-pentane,283,5430,14
water/n-pentane,293,3040,14
water/n-pentane,298,2270,14
water/n-hexane,293,2340,14
water/n-hexane,298,1650,14
water/n-hexane,303,1170,14
water/n-hexane,313,662,14
water/n-heptane,293,1870,14
water/n-heptane,298,1350,14
water/n-heptane,303,1050,14
water/n-heptane,313,585,14
water/n-octane,293,1660,14
water/n-octane,298,1230,14
water/n-octane,303,943,14
water/cyclopentane,293,1370,14
water/cyclohexane,293,2140,14
water/cyclohexane,298,1720,14
water/cyclohexane,326,429,14
water/ethanol,298,2.52,10,2.66,4.77,1.58,3.07,2.44,2.51,-
water/ethanol,333,2.65,10,2.77,3.23,1.81,3.05,2.33,2.63,~
water/ethanol,373,2.58,10,2.82,2.34,1.91,2.9,223,248,~
water/n-propanol,373,3.1,10,3.42,2.67,2.48,3.59,1.96,3.03,-
water/n-butanol,298,3.8,10,3.8,5.34,2.71,4.41,1.9,4.67,-
water/n-butanol,333,3.52,10,3.94,3.82,2.91,4.43,1.04,4.15,-
water/n-butanol,348,5.2,5,3.97,3.43,2.97,4.4,1.83,3.9,-
water/n-butanol,373,3.23,10,3.99,2.95,3.06,4.31,1,3.48,-
water/1-octanol,298,4.51,10,5.77,5.67,4.81,7.17,1.49,8.31,-,,,,,,
water/1-octanol,333,4.3,10,5.96,4.43,5.12,7.34,1.49,6.27,-,,,,,,
water/1-octanol,373,4,10,5.95,3.76,5.27,7.41,1.49,4.59,-,,,,,,
water/1-decanol,298,4.9,10,6.66,5.7,5.86,8.59,1.39,9.75,-,,,,,,
water/1-decanol,333,4.3,10,6.85,4.61,6.18,8.85,1.39,6.96,-,,,,,,
water/1-decanol,373,3.8,10,5.8,4.05,6.29,9.07,1.41,4.88,-,,,,,,
"water/1,2-dichloroethane",293,122,2
water/1-chlorobutane,293,244,3
water/2-chlorobutane,286,196,3
