System,T(K),GammaInf,Ref,1,2,3,4,5,6,
ethanol/water,298,3.43,10,7.62,9.59,6.12,5.45,12.85,4.79,-
ethanol/water,333,4.5,10,7.16,8.13,5.74,6.93,10.91,5.49,-
ethanol/water,373,5.19,10,6.75,6.89,5.44,8.05,9.4,5.93,-
n-propanol/water,298,11,10,20.06,26.54,17.66,12.5,30.15,13.94,-
n-propanol/water,333,15.39,10,17.93,21.15,15.57,17.03,24.17,15.14,-
n-propanol/water,373,17.8,10,16.13,17.11,14.12,20.27,19.79,15.25,-
n-butanol/water,348,78.65,5,43.14,00:00:50,41.35,48.24,51.36,42.24,-
1-octanol/water,298,11000,10,3.16,up,5.zo,up,4.55,1.37,4.07,ms,4.oa,ms,.,,
1-octanol/water,333,9390,10,2.17,3.08,103,3,2.56,10*,2.41,103,3.23,103,-,,
1-octanol/water,373,5900,10,1.53,1.93,2.05,3.1810],1.51,109,2.11,109,-,,,,
1-decanol/water,298,209000,10,2.49,104,4.47,104,4.37,104,1.02,10*,3.35,104,4.25,101,~
1-decanol/water,333,150000,10,1.53,2.34,2.54,10*,2.15,1.75,2.96,-,,,,,
1-decanol/water,373,61000,10,9.75,103,1.31,104,1.55,104,2.09,104,9.86,109,1.6,104,-
1-dodecanol/water,298,2410000,105,14,1.98,3.87,4.22,105,7.92,104,2.09,4.55,-,,,
1-octadecanol/water,298,14300000000,14,1.03,108,259,108,3.48,4.43,107,224,109,6.14,109,-,
acetaldehyde/water,298,4.23,10
n-propanal/water,298,16.5,10
n-butanal/water,298,60.7,10
n-pentanal/water,298,204,8
n-hexanal/water,298,1100,10
n-heptanal/water,298,3000,10
n-nonanal/water,299,67000,10
n-pentane/water,283,93400,14
n-pentane/water,293,99000,14
n-pentane/water,298,104000,14
n-hexane/water,293,344000,14
n-hexane/water,298,360000,14
n-hexane/water,303,356000,14
n-hexane/water,313,333000,14
n-heptane/water,293,1900000,14
n-heptane/water,298,2000000,14
n-heptane/water,303,2110000,14
n-heptane/water,313,2320000,14
n-octane/water,293,8850000,14
n-octane/water,298,9090000,14
n-octane/water,303,7810000,14
n-decane/water,293,152000000,8
"1,2-dichloroethane/water",293,626,2
"1,3-dichloropropane/water",293,2340,13
1-chloropropane/water,293,1670,3
1-chlorobutane/water,293,4660,3
1-chloropentane/water,298,29600,3
2-chloropropane/water,286,1440,3
2-chlorobutane/water,286,5120,3
benzene/water,298,2440,4
toluene/water,298,9900,4
ethylbenzene/water,298,40100,4
propylbenzene/water,298,133000,4
butylbenzene/water,298,597000,4
acetic acid/water,298,3.35,10
propionic acid/water,298,13.2,10
n-butanoic acid/water,298,38,10
n-pentanoic acid/water,298,105,10
n-hexanoic acid/water,298,540,10
n-heptanoic acid/water,298,2010,10
cyclopentane/water,293,249000,14
cyclohexane/water,298,83300,14
cycloheptane/water,293,181000,14
cyclooctane/water,293,787000,14
acetone/water,298,7.8,10
2-butanone/water,298,26.2,10
2-pentanone/water,298,1002,9
2-heptanone/water,298,1460,8
2-octanone/water,298,6350,8
2-nonanone/water,290,21000,8
biphenyl/water,298,442000,4
chrysene/water,298,32600000,4
perylene/water,298,120000000,4
fluorene/water,298,597000,4
indane/water,298,60000,4
water/n-pentane,283,5430,14
water/n-pentane,293,3040,14
water/n-pentane,298,2270,14
water/n-hexane,293,2340,14
water/n-hexane,298,1650,14
water/n-hexane,303,1170,14
water/n-hexane,313,662,14
water/n-heptane,293,1870,14
water/n-heptane,298,1350,14
water/n-heptane,303,1050,14
water/n-heptane,313,585,14
water/n-octane,293,1660,14
water/n-octane,298,1230,14
water/n-octane,303,943,14
water/cyclopentane,293,1370,14
water/cyclohexane,293,2140,14
water/cyclohexane,298,1720,14
water/cyclohexane,326,429,14
water/ethanol,298,2.52,10,2.66,4.77,1.58,3.07,2.44,2.51,-
water/ethanol,333,2.65,10,2.77,3.23,1.81,3.05,2.33,2.63,~
water/ethanol,373,2.58,10,2.82,2.34,1.91,2.9,223,248,~
water/n-propanol,373,3.1,10,3.42,2.67,2.48,3.59,1.96,3.03,-
water/n-butanol,298,3.8,10,3.8,5.34,2.71,4.41,1.9,4.67,-
water/n-butanol,333,3.52,10,3.94,3.82,2.91,4.43,1.04,4.15,-
water/n-butanol,348,5.2,5,3.97,3.43,2.97,4.4,1.83,3.9,-
water/n-butanol,373,3.23,10,3.99,2.95,3.06,4.31,1,3.48,-
water/1-octanol,298,4.51,10,5.77,5.67,4.81,7.17,1.49,8.31,-,,,,,,
water/1-octanol,333,4.3,10,5.96,4.43,5.12,7.34,1.49,6.27,-,,,,,,
water/1-octanol,373,4,10,5.95,3.76,5.27,7.41,1.49,4.59,-,,,,,,
water/1-decanol,298,4.9,10,6.66,5.7,5.86,8.59,1.39,9.75,-,,,,,,
water/1-decanol,333,4.3,10,6.85,4.61,6.18,8.85,1.39,6.96,-,,,,,,
water/1-decanol,373,3.8,10,5.8,4.05,6.29,9.07,1.41,4.88,-,,,,,,
"water/1,2-dichloroethane",293,122,2
water/1-chlorobutane,293,244,3
water/2-chlorobutane,286,196,3
