System,T(K),GammaInf,Ref,1,2,3,4,5,6
ethanol/cyclohexane,313,29.9,10,28.05,28.69,9.2,23.41,34.24,45.65
ethanol/cyclohexane,323,24.3,16,24.97,24.33,8.57,20.58,30.33,33.45
ethanol/cyclohexane,333,19.1,16,22.39,20.86,8.03,18,27,25.02
ethanol/cyclohexane,343,15.1,16,20.23,18.09,7.55,15.6,24.35,19.16
ethanol/cyclohexane,353,11.7,16,18.41,15.84,7.14,13.62,22.07,15.01
n-butanol/cyclohexane,313,28.13,16,17.9,18.34,6.11,15.07,20.66,32.96
n-butanol/cyclohexane,323,21.46,16,16.02,15.68,5.73,13.35,18.39,24.34
n-butanol/cyclohexane,333,16.47,16,14.45,13.55,5.41,11.79,16.5,18.4
n-butanol/cyclohexane,343,13.31,16,13.13,11.85,5.12,10.4,14.93,14.27
n-butanol/cyclohexane,353,11.05,16,12.01,10.47,4.87,9.15,13.6,11.35
n-pentanol/cyclohexane,313,22.11,16,14.67,15.03,5.12,12.63,16.95,28.85
n-pentanol/cyclohexane,323,16.73,16,13.15,12.9,4.82,11.22,15.12,21.35
n-pentanol/cyclohexane,333,12.77,16,11.89,11.19,4.56,9.94,13.6,16.19
n-pentanol/cyclohexane,343,10.48,16,10.83,9.82,4.34,8.8,12.33,12.61
n-pentanol/cyclohexane,353,8.12,16,9.94,8.7,4.14,7.78,11.25,10.08
