"System","T","GammaInf","Ref",
"cyclopentane/water",298,24900,14,"Fixed with DOI 10.1007/s10822-006-9079-6"
"cyclohexane/water",298,83300,14,
"cycloheptane/water",293,181000,14,
"cyclooctane/water",293,787000,14,
"cis-1,2-Dimethylcyclohexane/water","298.15","1035091.1","DOI 10.1007/s10822-006-9079-6",
"Cycloheptane/water","298.15","181679.6","DOI 10.1007/s10822-006-9079-6",
"Cyclohexane/water","298.15","80017.45","DOI 10.1007/s10822-006-9079-6",
"Cyclooctane/water","298.15","790167.32","DOI 10.1007/s10822-006-9079-6",
"Cyclopentane/water","298.15","24834.77","DOI 10.1007/s10822-006-9079-6",
"Methylcyclohexane/water","298.15","362217.45","DOI 10.1007/s10822-006-9079-6",
"Methylcyclopentane/water","298.15","109097.8","DOI 10.1007/s10822-006-9079-6",
