System,T,GammaInf,Ref
naphthalene/water,298,66200,4
biphenyl/water,298,442000,4
naphthacene/water,298,14600000,4
chrysene/water,298,32600000,4
perylene/water,298,120000000,4
acenaphthene/water,298,442000,4
fluorene/water,298,597000,4
indane/water,298,60000,4
"Benzanthracene/water","298.15","42287411.53","DOI 10.1007/s10822-006-9079-6",
"1,2-Benzofluorene/water","298.15","6715977.86","DOI 10.1007/s10822-006-9079-6",
"1,3-Dimethylnaphthalene/water","298.15","1088161.36","DOI 10.1007/s10822-006-9079-6",
"1,4-Dimethylnaphthalene/water","298.15","759184.42","DOI 10.1007/s10822-006-9079-6",
"1,5-Dimethylnaphthalene/water","298.15","744151.56","DOI 10.1007/s10822-006-9079-6",
"1-Ethylnaphthalene/water","298.15","806129.76","DOI 10.1007/s10822-006-9079-6",
"1-Methylnaphthalene/water","298.15","282095.23","DOI 10.1007/s10822-006-9079-6",
"2,3-Benzofluorene/water","298.15","16030440.44","DOI 10.1007/s10822-006-9079-6",
"2,3-Dimethylnaphthalene/water","298.15","503832.93","DOI 10.1007/s10822-006-9079-6",
"2,6-Dimethylnaphthalene/water","298.15","653436.08","DOI 10.1007/s10822-006-9079-6",
"2-Methylanthracene/water","298.15","4155735.56","DOI 10.1007/s10822-006-9079-6",
"2-Methylnaphthalene/water","298.15","265667.29","DOI 10.1007/s10822-006-9079-6",
"3,4-Benzopyrene/water","298.15","120842668.84","DOI 10.1007/s10822-006-9079-6",
"9,10-Dimethylanthracene/water","298.15","5780495.71","DOI 10.1007/s10822-006-9079-6",
"9-Methylanthracene/water","298.15","11409991.76","DOI 10.1007/s10822-006-9079-6",
"Acenaphthene/water","298.15","433653.02","DOI 10.1007/s10822-006-9079-6",
"Anthracene/water","298.15","1723728.09","DOI 10.1007/s10822-006-9079-6",
"Biphenyl/water","298.15","433653.02","DOI 10.1007/s10822-006-9079-6",
"Chrysene/water","298.15","33936442.67","DOI 10.1007/s10822-006-9079-6",
"Indane/water","298.15","59874.14","DOI 10.1007/s10822-006-9079-6",
"Naphthacene/water","298.15","14360615.75","DOI 10.1007/s10822-006-9079-6",
"Naphthalene/water","298.15","64215.51","DOI 10.1007/s10822-006-9079-6",
"Perylene/water","298.15","114949102.34","DOI 10.1007/s10822-006-9079-6",
"Phenanthrene/water","298.15","1498537.21","DOI 10.1007/s10822-006-9079-6",
"Pyrene/water","298.15","3874782.15","DOI 10.1007/s10822-006-9079-6",
